Symbol,Date,Percentage
AMD,29-06-2022,77.99
AMD,28-06-2022,80.78
AMD,27-06-2022,86.16
AMD,24-06-2022,87.08
AMD,23-06-2022,82.43
AMD,22-06-2022,83.75
AMD,21-06-2022,83.79
AMD,17-06-2022,81.57
AMD,16-06-2022,82.05
AMD,15-06-2022,89.3
AMD,14-06-2022,86.99
AMD,13-06-2022,86.99
AMD,10-06-2022,94.82
AMD,09-06-2022,98.8
AMD,08-06-2022,101.9
AMD,07-06-2022,105.28
AMD,06-06-2022,105.65
AMD,03-06-2022,106.3
AMD,02-06-2022,108.59
AMD,01-06-2022,101.22
AMD,31-05-2022,101.86
AMD,27-05-2022,102.26
AMD,26-05-2022,98.75
AMD,25-05-2022,92.65
AMD,24-05-2022,91.16
AMD,23-05-2022,95.07
AMD,20-05-2022,93.5
AMD,19-05-2022,96.67
AMD,18-05-2022,96.28
AMD,17-05-2022,102.47
AMD,16-05-2022,94.24
AMD,13-05-2022,95.12
AMD,12-05-2022,87.06
AMD,11-05-2022,87.92
AMD,10-05-2022,88.73
AMD,09-05-2022,86.36
AMD,06-05-2022,95.34
AMD,05-05-2022,93.87
AMD,04-05-2022,99.42
AMD,03-05-2022,91.13
AMD,02-05-2022,89.84
AMD,29-04-2022,85.52
AMD,28-04-2022,89.64
AMD,27-04-2022,84.91
AMD,26-04-2022,85.16
AMD,25-04-2022,90.69
AMD,22-04-2022,88.14
AMD,21-04-2022,89.85
AMD,20-04-2022,94.02
AMD,19-04-2022,96.93
AMD,18-04-2022,93.89
AMD,14-04-2022,93.06
AMD,13-04-2022,97.74
AMD,12-04-2022,95.1
AMD,11-04-2022,97.37
AMD,08-04-2022,101
AMD,07-04-2022,103.72
AMD,06-04-2022,103.67
AMD,05-04-2022,106.82
AMD,04-04-2022,110.53
AMD,01-04-2022,108.19
AMD,31-03-2022,109.34
AMD,30-03-2022,119.22
AMD,29-03-2022,123.23
AMD,28-03-2022,120.24
AMD,25-03-2022,119.67
AMD,24-03-2022,120.53
AMD,23-03-2022,113.92
AMD,22-03-2022,114.78
AMD,21-03-2022,115.92
AMD,18-03-2022,113.46
AMD,17-03-2022,111.69
AMD,16-03-2022,115.37
AMD,15-03-2022,109.33
AMD,14-03-2022,102.25
AMD,11-03-2022,104.29
AMD,10-03-2022,106.46
AMD,09-03-2022,111.05
AMD,08-03-2022,105.53
AMD,07-03-2022,102.95
AMD,04-03-2022,108.41
AMD,03-03-2022,111.98
AMD,02-03-2022,118.28
AMD,01-03-2022,113.83
AMD,28-02-2022,123.34
AMD,25-02-2022,121.06
AMD,24-02-2022,116.61
AMD,23-02-2022,109.76
AMD,22-02-2022,115.65
AMD,18-02-2022,113.83
AMD,17-02-2022,112.37
AMD,16-02-2022,117.69
AMD,15-02-2022,121.47
AMD,14-02-2022,114.27
AMD,11-02-2022,113.18
AMD,10-02-2022,125.77
AMD,09-02-2022,132.85
AMD,08-02-2022,128.23
AMD,07-02-2022,123.67
AMD,04-02-2022,123.6
AMD,03-02-2022,120.08
AMD,02-02-2022,122.76
AMD,01-02-2022,116.78
AMD,31-01-2022,114.25
AMD,28-01-2022,105.24
AMD,27-01-2022,102.6
AMD,26-01-2022,110.71
AMD,25-01-2022,111.13
AMD,24-01-2022,116.53
AMD,21-01-2022,118.81
AMD,20-01-2022,121.89
AMD,19-01-2022,128.27
AMD,18-01-2022,131.93
