Symbol,Date,Percentage
CSCO,29-06-2022,42.88
CSCO,28-06-2022,43.06
CSCO,27-06-2022,43.77
CSCO,24-06-2022,44.1
CSCO,23-06-2022,42.93
CSCO,22-06-2022,43.57
CSCO,21-06-2022,44.14
CSCO,17-06-2022,43.39
CSCO,16-06-2022,43.32
CSCO,15-06-2022,43.8
CSCO,14-06-2022,42.91
CSCO,13-06-2022,43.24
CSCO,10-06-2022,43.49
CSCO,09-06-2022,44.26
CSCO,08-06-2022,44.92
CSCO,07-06-2022,45.57
CSCO,06-06-2022,45.33
CSCO,03-06-2022,45.25
CSCO,02-06-2022,45.79
CSCO,01-06-2022,45.23
CSCO,31-05-2022,45.05
CSCO,27-05-2022,45.62
CSCO,26-05-2022,44.99
CSCO,25-05-2022,44
CSCO,24-05-2022,43.77
CSCO,23-05-2022,43.35
CSCO,20-05-2022,42.94
CSCO,19-05-2022,41.72
CSCO,18-05-2022,48.36
CSCO,17-05-2022,50.6
CSCO,16-05-2022,49
CSCO,13-05-2022,49.56
CSCO,12-05-2022,48.29
CSCO,11-05-2022,48.65
CSCO,10-05-2022,49.55
CSCO,09-05-2022,48.96
CSCO,06-05-2022,49.33
CSCO,05-05-2022,49.61
CSCO,04-05-2022,51.58
CSCO,03-05-2022,49.92
CSCO,02-05-2022,49.86
CSCO,29-04-2022,48.98
CSCO,28-04-2022,50.63
CSCO,27-04-2022,49.31
CSCO,26-04-2022,50.9
CSCO,25-04-2022,51.94
CSCO,22-04-2022,51.36
CSCO,21-04-2022,52.78
CSCO,20-04-2022,53.02
CSCO,19-04-2022,51.83
CSCO,18-04-2022,51.11
CSCO,14-04-2022,51.17
CSCO,13-04-2022,52.15
CSCO,12-04-2022,51.82
CSCO,11-04-2022,52.88
CSCO,08-04-2022,54.28
CSCO,07-04-2022,54.63
CSCO,06-04-2022,54.37
CSCO,05-04-2022,54.92
CSCO,04-04-2022,55.87
CSCO,01-04-2022,55.66
CSCO,31-03-2022,55.76
CSCO,30-03-2022,56.05
CSCO,29-03-2022,55.67
CSCO,28-03-2022,55.14
CSCO,25-03-2022,54.97
CSCO,24-03-2022,54.5
CSCO,23-03-2022,54.48
CSCO,22-03-2022,56.17
CSCO,21-03-2022,56
CSCO,18-03-2022,55.97
CSCO,17-03-2022,56.17
CSCO,16-03-2022,55.81
CSCO,15-03-2022,55.6
CSCO,14-03-2022,54.3
CSCO,11-03-2022,54.69
CSCO,10-03-2022,54.71
CSCO,09-03-2022,55.92
CSCO,08-03-2022,54.4
CSCO,07-03-2022,55.59
CSCO,04-03-2022,56.51
CSCO,03-03-2022,56.07
CSCO,02-03-2022,56.15
CSCO,01-03-2022,54.62
CSCO,28-02-2022,55.77
CSCO,25-02-2022,56.04
CSCO,24-02-2022,54.73
CSCO,23-02-2022,54.44
CSCO,22-02-2022,56.3
CSCO,18-02-2022,57.21
CSCO,17-02-2022,55.77
CSCO,16-02-2022,54.25
CSCO,15-02-2022,54.27
CSCO,14-02-2022,53.18
CSCO,11-02-2022,53.9
CSCO,10-02-2022,54.87
CSCO,09-02-2022,56.29
CSCO,08-02-2022,55.34
CSCO,07-02-2022,55.17
CSCO,04-02-2022,55.15
CSCO,03-02-2022,55.2
CSCO,02-02-2022,56.17
CSCO,01-02-2022,55.37
CSCO,31-01-2022,55.67
CSCO,28-01-2022,55.61
CSCO,27-01-2022,54.62
CSCO,26-01-2022,55.33
CSCO,25-01-2022,56.11
CSCO,24-01-2022,56.9
CSCO,21-01-2022,56.68
CSCO,20-01-2022,58.08
CSCO,19-01-2022,58.9
CSCO,18-01-2022,59.73
CSCO,14-01-2022,61.36
CSCO,13-01-2022,61.5
CSCO,12-01-2022,62.12
CSCO,11-01-2022,62.37
CSCO,10-01-2022,61.82
CSCO,07-01-2022,61.13
CSCO,06-01-2022,60.92
CSCO,05-01-2022,60.28
CSCO,04-01-2022,61.25
CSCO,03-01-2022,63.16
CSCO,31-12-2021,63.37
CSCO,30-12-2021,63.62
