Symbol,Date,Percentage
INFY,29-06-2022,18.61
INFY,28-06-2022,18.46
INFY,27-06-2022,18.76
INFY,24-06-2022,18.67
INFY,23-06-2022,18.44
INFY,22-06-2022,18.32
INFY,21-06-2022,18.77
INFY,17-06-2022,17.76
INFY,16-06-2022,17.67
INFY,15-06-2022,18.29
INFY,14-06-2022,18.24
INFY,13-06-2022,17.85
INFY,10-06-2022,18.33
INFY,09-06-2022,18.88
INFY,08-06-2022,19.16
INFY,07-06-2022,19.38
INFY,06-06-2022,19.43
INFY,03-06-2022,19.38
INFY,02-06-2022,19.51
INFY,01-06-2022,43525
INFY,31-05-2022,18.86
INFY,27-05-2022,19
INFY,26-05-2022,18.45
INFY,25-05-2022,18.14
INFY,24-05-2022,43191
INFY,23-05-2022,18.89
INFY,20-05-2022,43282
INFY,19-05-2022,18.63
INFY,18-05-2022,18.78
INFY,17-05-2022,19.61
INFY,16-05-2022,18.94
INFY,13-05-2022,19.45
INFY,12-05-2022,19.53
INFY,11-05-2022,19.41
INFY,10-05-2022,19.76
INFY,09-05-2022,19.82
INFY,06-05-2022,19.85
INFY,05-05-2022,20.31
INFY,04-05-2022,20.61
INFY,03-05-2022,20.22
INFY,02-05-2022,20.15
INFY,29-04-2022,19.87
INFY,28-04-2022,43952
INFY,27-04-2022,44166
INFY,26-04-2022,44166
INFY,25-04-2022,20.41
INFY,22-04-2022,20.26
INFY,21-04-2022,20.68
INFY,20-04-2022,20.57
INFY,19-04-2022,20.42
INFY,18-04-2022,20.56
INFY,14-04-2022,20.46
INFY,13-04-2022,21.19
INFY,12-04-2022,22.57
INFY,11-04-2022,45047
INFY,08-04-2022,45108
INFY,07-04-2022,23.82
INFY,06-04-2022,23.97
INFY,05-04-2022,24.38
INFY,04-04-2022,24.74
INFY,01-04-2022,24.61
INFY,31-03-2022,24.89
INFY,30-03-2022,24.97
INFY,29-03-2022,45962
INFY,28-03-2022,24.72
INFY,25-03-2022,24.73
INFY,24-03-2022,24.67
INFY,23-03-2022,24.31
INFY,22-03-2022,24.79
INFY,21-03-2022,24.21
INFY,18-03-2022,45748
INFY,17-03-2022,24.49
INFY,16-03-2022,45962
INFY,15-03-2022,24.19
INFY,14-03-2022,24.69
INFY,11-03-2022,45292
INFY,10-03-2022,23.84
INFY,09-03-2022,45170
INFY,08-03-2022,23.33
INFY,07-03-2022,22.58
INFY,04-03-2022,22.46
INFY,03-03-2022,22.52
INFY,02-03-2022,22.59
INFY,01-03-2022,22.16
INFY,28-02-2022,22.46
INFY,25-02-2022,22.84
INFY,24-02-2022,22.24
INFY,23-02-2022,22.72
INFY,22-02-2022,45047
INFY,18-02-2022,22.51
INFY,17-02-2022,22.43
INFY,16-02-2022,22.84
INFY,15-02-2022,22.89
INFY,14-02-2022,22.19
INFY,11-02-2022,22.27
INFY,10-02-2022,22.94
INFY,09-02-2022,23.41
INFY,08-02-2022,22.89
INFY,07-02-2022,22.47
INFY,04-02-2022,22.89
INFY,03-02-2022,22.76
INFY,02-02-2022,23.77
INFY,01-02-2022,23.52
INFY,31-01-2022,23.57
INFY,28-01-2022,22.66
INFY,27-01-2022,21.81
INFY,26-01-2022,22.39
INFY,25-01-2022,22.48
INFY,24-01-2022,22.94
INFY,21-01-2022,23.41
INFY,20-01-2022,23.68
INFY,19-01-2022,24.47
INFY,18-01-2022,25.51
INFY,14-01-2022,46054
INFY,13-01-2022,45809
INFY,12-01-2022,25.75
INFY,11-01-2022,45689
INFY,10-01-2022,24.77
INFY,07-01-2022,45323
INFY,06-01-2022,45597
INFY,05-01-2022,45352
INFY,04-01-2022,45962
INFY,03-01-2022,25.26
INFY,31-12-2021,25.31
INFY,30-12-2021,25.41
