Symbol,Date,Percentage
QCOM,29-06-2022,130.23
QCOM,28-06-2022,131.60
QCOM,27-06-2022,127.18
QCOM,24-06-2022,125.10
QCOM,23-06-2022,120.09
QCOM,22-06-2022,122.16
QCOM,21-06-2022,124.39
QCOM,17-06-2022,120.99
QCOM,16-06-2022,120.82
QCOM,15-06-2022,131.03
QCOM,14-06-2022,130.26
QCOM,13-06-2022,128.66
QCOM,10-06-2022,133.20
QCOM,09-06-2022,136.71
QCOM,08-06-2022,138.96
QCOM,07-06-2022,141.89
QCOM,06-06-2022,140.44
QCOM,03-06-2022,141.22
QCOM,02-06-2022,146.20
QCOM,01-06-2022,140.02
QCOM,31-05-2022,143.22
QCOM,27-05-2022,139.76
QCOM,26-05-2022,134.84
QCOM,25-05-2022,131.23
QCOM,24-05-2022,128.53
QCOM,23-05-2022,132.12
QCOM,20-05-2022,131.60
QCOM,19-05-2022,130.57
QCOM,18-05-2022,130.45
QCOM,17-05-2022,139.69
QCOM,16-05-2022,133.91
QCOM,13-05-2022,134.93
QCOM,12-05-2022,131.77
QCOM,11-05-2022,132.30
QCOM,10-05-2022,136.81
QCOM,09-05-2022,134.92
QCOM,06-05-2022,140.58
QCOM,05-05-2022,141.64
QCOM,04-05-2022,149.05
QCOM,03-05-2022,144.26
QCOM,02-05-2022,145.27
QCOM,29-04-2022,139.69
QCOM,28-04-2022,148.19
QCOM,27-04-2022,135.10
QCOM,26-04-2022,133.50
QCOM,25-04-2022,136.56
QCOM,22-04-2022,132.81
QCOM,21-04-2022,136.11
QCOM,20-04-2022,140.34
QCOM,19-04-2022,141.05
QCOM,18-04-2022,139.32
QCOM,14-04-2022,136.91
QCOM,13-04-2022,140.50
QCOM,12-04-2022,136.09
QCOM,11-04-2022,135.36
QCOM,08-04-2022,136.69
QCOM,07-04-2022,139.22
QCOM,06-04-2022,139.28
QCOM,05-04-2022,145.46
QCOM,04-04-2022,153.81
QCOM,01-04-2022,146.99
QCOM,31-03-2022,152.82
