Symbol,Date,Percentage
SBUX,29-06-2022,76.43
SBUX,28-06-2022,76.34
SBUX,27-06-2022,77.68
SBUX,24-06-2022,78.11
SBUX,23-06-2022,75.2
SBUX,22-06-2022,73.3
SBUX,21-06-2022,72.96
SBUX,17-06-2022,71.87
SBUX,16-06-2022,70.95
SBUX,15-06-2022,74.19
SBUX,14-06-2022,72.31
SBUX,13-06-2022,72.36
SBUX,10-06-2022,75.67
SBUX,09-06-2022,78.91
SBUX,08-06-2022,78.47
SBUX,07-06-2022,79.47
SBUX,06-06-2022,78.98
SBUX,03-06-2022,79.05
SBUX,02-06-2022,79.42
SBUX,01-06-2022,76.28
SBUX,31-05-2022,78.5
SBUX,27-05-2022,76.71
SBUX,26-05-2022,74.49
SBUX,25-05-2022,72.48
SBUX,24-05-2022,72.72
SBUX,23-05-2022,73.42
SBUX,20-05-2022,73.39
SBUX,19-05-2022,71.93
SBUX,18-05-2022,71.28
SBUX,17-05-2022,73.72
SBUX,16-05-2022,72.42
SBUX,13-05-2022,75.6
SBUX,12-05-2022,69.9
SBUX,11-05-2022,70.06
SBUX,10-05-2022,71.86
SBUX,09-05-2022,73.49
SBUX,06-05-2022,76.52
SBUX,05-05-2022,77.48
SBUX,04-05-2022,81.64
SBUX,03-05-2022,74.33
SBUX,02-05-2022,75.37
SBUX,29-04-2022,74.64
SBUX,28-04-2022,76.58
SBUX,27-04-2022,74.74
SBUX,26-04-2022,75.63
SBUX,25-04-2022,77.98
SBUX,22-04-2022,77.92
SBUX,21-04-2022,78.96
SBUX,20-04-2022,80.17
SBUX,19-04-2022,81.22
SBUX,18-04-2022,79.6
SBUX,14-04-2022,79.5
SBUX,13-04-2022,80.92
SBUX,12-04-2022,79.79
SBUX,11-04-2022,80.68
SBUX,08-04-2022,81.52
SBUX,07-04-2022,83.12
SBUX,06-04-2022,83.36
SBUX,05-04-2022,84.12
SBUX,04-04-2022,88.09
SBUX,01-04-2022,91.49
SBUX,31-03-2022,90.97
SBUX,30-03-2022,91.03
SBUX,29-03-2022,91.23
SBUX,28-03-2022,88.38
SBUX,25-03-2022,87.45
SBUX,24-03-2022,87.12
SBUX,23-03-2022,86.22
SBUX,22-03-2022,87.89
SBUX,21-03-2022,86.86
SBUX,18-03-2022,89.6
SBUX,17-03-2022,87.66
SBUX,16-03-2022,87.41
SBUX,15-03-2022,83.12
SBUX,14-03-2022,79.29
SBUX,11-03-2022,82.73
SBUX,10-03-2022,87.16
SBUX,09-03-2022,87.6
SBUX,08-03-2022,84
SBUX,07-03-2022,84.46
SBUX,04-03-2022,90.03
SBUX,03-03-2022,91.53
SBUX,02-03-2022,92.77
SBUX,01-03-2022,90.14
SBUX,28-02-2022,91.79
SBUX,25-02-2022,92.58
SBUX,24-02-2022,91.01
SBUX,23-02-2022,89.65
SBUX,22-02-2022,93.11
SBUX,18-02-2022,93.34
SBUX,17-02-2022,93.05
SBUX,16-02-2022,95.18
SBUX,15-02-2022,94.51
SBUX,14-02-2022,93.65
SBUX,11-02-2022,93.73
SBUX,10-02-2022,95.31
SBUX,09-02-2022,97.13
SBUX,08-02-2022,94.92
SBUX,07-02-2022,95.19
SBUX,04-02-2022,95
SBUX,03-02-2022,95.94
SBUX,02-02-2022,97.73
SBUX,01-02-2022,98.76
SBUX,31-01-2022,98.32
SBUX,28-01-2022,97.21
SBUX,27-01-2022,95.32
SBUX,26-01-2022,95.58
SBUX,25-01-2022,97.01
SBUX,24-01-2022,98.1
SBUX,21-01-2022,96.31
SBUX,20-01-2022,95.72
SBUX,19-01-2022,96.87
SBUX,18-01-2022,97.73
SBUX,14-01-2022,100.12
SBUX,13-01-2022,102.4
SBUX,12-01-2022,103.87
SBUX,11-01-2022,104.04
SBUX,10-01-2022,106.03
SBUX,07-01-2022,107.57
SBUX,06-01-2022,111.14
SBUX,05-01-2022,110.44
SBUX,04-01-2022,114.24
SBUX,03-01-2022,116.68
SBUX,31-12-2021,116.97
SBUX,30-12-2021,116.24
SBUX,29-12-2021,116.38
SBUX,28-12-2021,115.57
SBUX,27-12-2021,114.22
SBUX,23-12-2021,112.37
SBUX,22-12-2021,111.74
SBUX,21-12-2021,110.37
SBUX,20-12-2021,108.09
SBUX,17-12-2021,108.63
SBUX,16-12-2021,113.59
SBUX,15-12-2021,114.68
SBUX,14-12-2021,114.71
SBUX,13-12-2021,115.56
SBUX,10-12-2021,116.73
SBUX,09-12-2021,115.35
SBUX,08-12-2021,116.25
SBUX,07-12-2021,116.26
SBUX,06-12-2021,113.36
SBUX,03-12-2021,111.24
SBUX,02-12-2021,111.42
SBUX,01-12-2021,108.66
SBUX,30-11-2021,109.64
SBUX,29-11-2021,110.73
SBUX,26-11-2021,110.66
SBUX,24-11-2021,113.97
SBUX,23-11-2021,113.58
SBUX,22-11-2021,111.45
SBUX,19-11-2021,110.78
SBUX,18-11-2021,112.9
SBUX,17-11-2021,112.52
SBUX,16-11-2021,112.23
SBUX,15-11-2021,111.87
SBUX,12-11-2021,111.72
SBUX,11-11-2021,111.44
SBUX,10-11-2021,113.25
SBUX,09-11-2021,114.13
SBUX,08-11-2021,115.16
SBUX,05-11-2021,116.91
SBUX,04-11-2021,112.16
SBUX,03-11-2021,112.61
SBUX,02-11-2021,111.45
SBUX,01-11-2021,109.8
SBUX,29-10-2021,106.07
SBUX,28-10-2021,113.2
SBUX,27-10-2021,113.51
SBUX,26-10-2021,114.92
SBUX,25-10-2021,114.71
SBUX,22-10-2021,114.55
SBUX,21-10-2021,114.44
SBUX,20-10-2021,113.86
SBUX,19-10-2021,113.49
SBUX,18-10-2021,113.37
SBUX,15-10-2021,111.45
SBUX,14-10-2021,111.87
SBUX,13-10-2021,110.76
SBUX,12-10-2021,111
SBUX,11-10-2021,110.94
SBUX,08-10-2021,111.22
SBUX,07-10-2021,112.21
SBUX,06-10-2021,111.64
SBUX,05-10-2021,110.85
SBUX,04-10-2021,111.46
SBUX,01-10-2021,112.92
SBUX,30-09-2021,110.31
SBUX,29-09-2021,112.17
SBUX,28-09-2021,111.71
SBUX,27-09-2021,113.68
SBUX,24-09-2021,114.11
SBUX,23-09-2021,114.14
SBUX,22-09-2021,113.07
SBUX,21-09-2021,112.22
SBUX,20-09-2021,111.82
SBUX,17-09-2021,113.41
SBUX,16-09-2021,114.67
SBUX,15-09-2021,114.64
SBUX,14-09-2021,118.86
SBUX,13-09-2021,119.18
SBUX,10-09-2021,119.34
SBUX,09-09-2021,118.79
SBUX,08-09-2021,118.04
SBUX,07-09-2021,115.79
SBUX,03-09-2021,117.19
SBUX,02-09-2021,117.37
SBUX,01-09-2021,117.45
SBUX,31-08-2021,117.49
SBUX,30-08-2021,115.61
SBUX,27-08-2021,115.12
SBUX,26-08-2021,114.32
SBUX,25-08-2021,115.57
SBUX,24-08-2021,115.08
SBUX,23-08-2021,115.15
SBUX,20-08-2021,114.63
SBUX,19-08-2021,114.32
SBUX,18-08-2021,115.68
SBUX,17-08-2021,116.57
SBUX,16-08-2021,117.54
SBUX,13-08-2021,116.76
SBUX,12-08-2021,115.75
SBUX,11-08-2021,116.5
SBUX,10-08-2021,116.39
SBUX,09-08-2021,117.94
SBUX,06-08-2021,119.05
SBUX,05-08-2021,119.03
SBUX,04-08-2021,118.25
SBUX,03-08-2021,119.13
SBUX,02-08-2021,120.37
SBUX,30-07-2021,121.43
SBUX,29-07-2021,122.38
SBUX,28-07-2021,122.41
SBUX,27-07-2021,126.03
SBUX,26-07-2021,126.06
SBUX,23-07-2021,125.97
SBUX,22-07-2021,122.63
SBUX,21-07-2021,119.27
SBUX,20-07-2021,117.42
SBUX,19-07-2021,115.32
SBUX,16-07-2021,118.73
SBUX,15-07-2021,118.97
SBUX,14-07-2021,119.8
SBUX,13-07-2021,119.55
SBUX,12-07-2021,118.46
SBUX,09-07-2021,117.47
SBUX,08-07-2021,115.99
SBUX,07-07-2021,117.14
SBUX,06-07-2021,115.73
SBUX,02-07-2021,114.97
SBUX,01-07-2021,113.41
SBUX,30-06-2021,111.81
SBUX,29-06-2021,112.27
SBUX,28-06-2021,112.24
SBUX,25-06-2021,113.04
SBUX,24-06-2021,111.99
SBUX,23-06-2021,111.56
SBUX,22-06-2021,111.85
SBUX,21-06-2021,110.97
SBUX,18-06-2021,109.7
SBUX,17-06-2021,111.39
SBUX,16-06-2021,111.36
SBUX,15-06-2021,111.89
SBUX,14-06-2021,112.45
SBUX,11-06-2021,112.56
SBUX,10-06-2021,112.21
SBUX,09-06-2021,111.39
SBUX,08-06-2021,111.52
SBUX,07-06-2021,111.33
SBUX,04-06-2021,111.99
SBUX,03-06-2021,111.12
SBUX,02-06-2021,113
SBUX,01-06-2021,113.34
SBUX,28-05-2021,113.88
SBUX,27-05-2021,113.51
SBUX,26-05-2021,112.85
SBUX,25-05-2021,112.63
SBUX,24-05-2021,112.52
SBUX,21-05-2021,110.92
SBUX,20-05-2021,111.41
SBUX,19-05-2021,109.67
SBUX,18-05-2021,111.07
SBUX,17-05-2021,110.98
SBUX,14-05-2021,111.2
SBUX,13-05-2021,110.49
SBUX,12-05-2021,109.79
SBUX,11-05-2021,113.55
SBUX,10-05-2021,114.3
SBUX,07-05-2021,114.34
SBUX,06-05-2021,114.74
SBUX,05-05-2021,113.48
SBUX,04-05-2021,114.11
SBUX,03-05-2021,115.72
SBUX,30-04-2021,114.49
SBUX,29-04-2021,114.63
SBUX,28-04-2021,112.4
SBUX,27-04-2021,116.15
SBUX,26-04-2021,115.92
SBUX,23-04-2021,117.56
SBUX,22-04-2021,115.92
SBUX,21-04-2021,116.74
SBUX,20-04-2021,116.27
SBUX,19-04-2021,117.6
SBUX,16-04-2021,118.34
SBUX,15-04-2021,116.66
SBUX,14-04-2021,115.16
SBUX,13-04-2021,115.36
SBUX,12-04-2021,113.81
SBUX,09-04-2021,113.18
SBUX,08-04-2021,113.04
SBUX,07-04-2021,113.19
SBUX,06-04-2021,113.15
SBUX,05-04-2021,111.02
SBUX,01-04-2021,109.38
SBUX,31-03-2021,109.27
SBUX,30-03-2021,110.27
SBUX,29-03-2021,109.13
SBUX,26-03-2021,109.9
SBUX,25-03-2021,107.35
SBUX,24-03-2021,104.97
SBUX,23-03-2021,106.25
SBUX,22-03-2021,107.57
SBUX,19-03-2021,106.34
SBUX,18-03-2021,107.62
SBUX,17-03-2021,110.46
SBUX,16-03-2021,111.34
SBUX,15-03-2021,108.9
SBUX,12-03-2021,107.81
SBUX,11-03-2021,107.32
SBUX,10-03-2021,107.78
SBUX,09-03-2021,106.55
SBUX,08-03-2021,105.03
SBUX,05-03-2021,105.2
SBUX,04-03-2021,104.89
SBUX,03-03-2021,106.22
SBUX,02-03-2021,107.2
SBUX,01-03-2021,106.87
SBUX,26-02-2021,108.03
SBUX,25-02-2021,103.47
SBUX,24-02-2021,104.38
SBUX,23-02-2021,101.37
SBUX,22-02-2021,101.81
SBUX,19-02-2021,103.37
SBUX,18-02-2021,104.97
SBUX,17-02-2021,104.44
SBUX,16-02-2021,106.15
SBUX,12-02-2021,105.3
SBUX,11-02-2021,105.86
SBUX,10-02-2021,105.87
SBUX,09-02-2021,106.22
SBUX,08-02-2021,106.26
SBUX,05-02-2021,106.48
SBUX,04-02-2021,103.64
SBUX,03-02-2021,101.02
SBUX,02-02-2021,101.65
SBUX,01-02-2021,98.58
SBUX,29-01-2021,96.81
SBUX,28-01-2021,98.15
SBUX,27-01-2021,97.87
SBUX,26-01-2021,104.69
SBUX,25-01-2021,103.45
SBUX,22-01-2021,103.91
SBUX,21-01-2021,104.58
SBUX,20-01-2021,105.46
SBUX,19-01-2021,102.54
SBUX,15-01-2021,102.33
SBUX,14-01-2021,101.82
SBUX,13-01-2021,102.89
SBUX,12-01-2021,102.82
SBUX,11-01-2021,104.6
SBUX,08-01-2021,105.67
SBUX,07-01-2021,103.35
SBUX,06-01-2021,104.19
SBUX,05-01-2021,103.44
SBUX,04-01-2021,103.1
SBUX,31-12-2020,106.98
SBUX,30-12-2020,105.97
SBUX,29-12-2020,105.63
SBUX,28-12-2020,104.34
SBUX,24-12-2020,102.01
SBUX,23-12-2020,102.06
SBUX,22-12-2020,102.41
SBUX,21-12-2020,102.94
SBUX,18-12-2020,103.28
SBUX,17-12-2020,103.21
SBUX,16-12-2020,103.27
SBUX,15-12-2020,104.18
SBUX,14-12-2020,103.32
SBUX,11-12-2020,103
SBUX,10-12-2020,105.39
SBUX,09-12-2020,100.4
SBUX,08-12-2020,101.21
SBUX,07-12-2020,101.41
SBUX,04-12-2020,102.28
SBUX,03-12-2020,100.11
SBUX,02-12-2020,98.91
SBUX,01-12-2020,98.82
SBUX,30-11-2020,98.02
SBUX,27-11-2020,98.66
SBUX,25-11-2020,98.2
SBUX,24-11-2020,98.3
SBUX,23-11-2020,96.88
SBUX,20-11-2020,97.01
SBUX,19-11-2020,97.76
SBUX,18-11-2020,97.91
SBUX,17-11-2020,98.6
SBUX,16-11-2020,97.78
SBUX,13-11-2020,95.56
SBUX,12-11-2020,93.53
SBUX,11-11-2020,95.04
SBUX,10-11-2020,93.92
SBUX,09-11-2020,95.88
SBUX,06-11-2020,90.65
