Symbol,Date,Percentage
TSLA,29-06-2022,685.47
TSLA,28-06-2022,697.99
TSLA,27-06-2022,734.76
TSLA,24-06-2022,737.12
TSLA,23-06-2022,705.21
TSLA,22-06-2022,708.26
TSLA,21-06-2022,711.11
TSLA,17-06-2022,650.28
TSLA,16-06-2022,639.3
TSLA,15-06-2022,699
TSLA,14-06-2022,662.67
TSLA,13-06-2022,647.21
TSLA,10-06-2022,696.69
TSLA,09-06-2022,719.12
TSLA,08-06-2022,725.6
TSLA,07-06-2022,716.66
TSLA,06-06-2022,714.84
TSLA,03-06-2022,703.55
TSLA,02-06-2022,775
TSLA,01-06-2022,740.37
TSLA,31-05-2022,758.26
TSLA,27-05-2022,759.63
TSLA,26-05-2022,707.73
TSLA,25-05-2022,658.8
TSLA,24-05-2022,628.16
TSLA,23-05-2022,674.9
TSLA,20-05-2022,663.9
TSLA,19-05-2022,709.42
TSLA,18-05-2022,709.81
TSLA,17-05-2022,761.61
TSLA,16-05-2022,724.37
TSLA,13-05-2022,769.59
TSLA,12-05-2022,728
TSLA,11-05-2022,734
TSLA,10-05-2022,800.04
TSLA,09-05-2022,787.11
TSLA,06-05-2022,865.65
TSLA,05-05-2022,873.28
TSLA,04-05-2022,952.62
TSLA,03-05-2022,909.25
TSLA,02-05-2022,902.94
TSLA,29-04-2022,870.76
TSLA,28-04-2022,877.51
TSLA,27-04-2022,881.51
TSLA,26-04-2022,876.42
TSLA,25-04-2022,998.02
TSLA,22-04-2022,1005.05
TSLA,21-04-2022,1008.78
TSLA,20-04-2022,977.2
TSLA,19-04-2022,1028.15
TSLA,18-04-2022,1004.29
TSLA,14-04-2022,985
TSLA,13-04-2022,1022.37
TSLA,12-04-2022,986.95
TSLA,11-04-2022,975.93
TSLA,08-04-2022,1025.49
TSLA,07-04-2022,1057.26
TSLA,06-04-2022,1045.76
TSLA,05-04-2022,1091.26
TSLA,04-04-2022,1145.45
TSLA,01-04-2022,1084.59
TSLA,31-03-2022,1077.6
TSLA,30-03-2022,1093.99
TSLA,29-03-2022,1099.57
TSLA,28-03-2022,1091.84
TSLA,25-03-2022,1010.64
TSLA,24-03-2022,1013.92
TSLA,23-03-2022,999.11
TSLA,22-03-2022,993.98
TSLA,21-03-2022,921.16
TSLA,18-03-2022,905.39
TSLA,17-03-2022,871.6
TSLA,16-03-2022,840.23
TSLA,15-03-2022,801.89
TSLA,14-03-2022,766.37
TSLA,11-03-2022,795.35
TSLA,10-03-2022,838.3
TSLA,09-03-2022,858.97
TSLA,08-03-2022,824.4
TSLA,07-03-2022,804.58
TSLA,04-03-2022,838.29
TSLA,03-03-2022,839.29
TSLA,02-03-2022,879.89
TSLA,01-03-2022,864.37
TSLA,28-02-2022,870.43
TSLA,25-02-2022,809.87
TSLA,24-02-2022,800.77
TSLA,23-02-2022,764.04
TSLA,22-02-2022,821.53
TSLA,18-02-2022,856.98
TSLA,17-02-2022,876.35
TSLA,16-02-2022,923.39
TSLA,15-02-2022,922.43
TSLA,14-02-2022,875.76
TSLA,11-02-2022,860
TSLA,10-02-2022,904.55
TSLA,09-02-2022,932
TSLA,08-02-2022,922
TSLA,07-02-2022,907.34
TSLA,04-02-2022,923.32
TSLA,03-02-2022,891.14
TSLA,02-02-2022,905.66
TSLA,01-02-2022,931.25
TSLA,31-01-2022,936.72
TSLA,28-01-2022,846.35
TSLA,27-01-2022,829.1
TSLA,26-01-2022,937.41
TSLA,25-01-2022,918.4
TSLA,24-01-2022,930
TSLA,21-01-2022,943.9
TSLA,20-01-2022,996.27
TSLA,19-01-2022,995.65
TSLA,18-01-2022,1030.51
TSLA,14-01-2022,1049.61
TSLA,13-01-2022,1031.56
TSLA,12-01-2022,1106.22
TSLA,11-01-2022,1064.4
TSLA,10-01-2022,1058.12
TSLA,07-01-2022,1026.96
TSLA,06-01-2022,1064.7
TSLA,05-01-2022,1088.12
TSLA,04-01-2022,1149.59
TSLA,03-01-2022,1199.78
TSLA,31-12-2021,1056.78
TSLA,30-12-2021,1070.34
