Symbol,Date,Profit
AAPL,25-09-2021,152836000
AAPL,26-09-2020,104956000
AAPL,27-09-2019,98392000
AAPL,28-09-2018,101839000
AMD,25-09-2021,7929000
AMD,26-09-2020,4347000
AMD,27-09-2019,2868000
AMD,28-09-2018,2447000
AMZN,25-09-2021,197478000
AMZN,26-09-2020,152757000
AMZN,27-09-2019,114986000
AMZN,28-09-2018,93731000
BMWYY,25-09-2021,162573000
BMWYY,26-09-2020,78368000
BMWYY,27-09-2019,63752000
BMWYY,28-09-2018,72286000
CSCO,25-09-2021,31894000
CSCO,26-09-2020,31683000
CSCO,27-09-2019,32666000
CSCO,28-09-2018,30606000
INFY,25-09-2021,5315000
INFY,26-09-2020,4733000
INFY,27-09-2019,4228000
INFY,28-09-2018,4112000
MSFT,25-09-2021,115856000
MSFT,26-09-2020,96937000
MSFT,27-09-2019,82933000
MSFT,28-09-2018,72007000
QCOM,25-09-2021,19304000
QCOM,26-09-2020,14376000
QCOM,27-09-2019,15674000
QCOM,28-09-2018,12367000
SBUX,25-09-2021,20321900
SBUX,26-09-2020,15823700
SBUX,27-09-2019,15981700
SBUX,28-09-2018,16788800
TSLA,25-09-2021,13606000
TSLA,26-09-2020,6630000
TSLA,27-09-2019,4069000
TSLA,28-09-2018,4042000
